account_name,username,created_at,tweet,retweets,likes,cleaned_text,casefolded_text,tokenized_text,filtered_text,stemmed_text,processed_sentence,polarity
KawalPemilu,@KawalPemilu_org,2024-03-13T10:18:48.000Z,*terngakak (biasa minta bikin logo gratisan) ,3,27,terngakak biasa minta bikin logo gratisan,terngakak biasa minta bikin logo gratisan,"['terngakak', 'biasa', 'minta', 'bikin', 'logo', 'gratisan']","['terngakak', 'bikin', 'logo', 'gratisan']","['terngakak', 'bikin', 'logo', 'gratis']",terngakak bikin logo gratis,Positive
KawalPemilu,@KawalPemilu_org,2024-03-13T10:11:38.000Z,"Membalas 
@KedaiKupiSareng
 @duolion163
 dan 
@Sikusihsama",3,37,"Membalas  dan ","membalas  dan ","['membalas', 'dan']",['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-13T10:08:15.000Z,"Relawan KP = priceless. Kalau mereka tidak bersedia probono (kerja tanpa dibayar), KP tidak akan pernah terjadi. Relawan KP datang dari berbagai latar belakang, sebagian profesional yg hourly rate-nya aja udah di luar nilir. Mo bayar pake apa, biaya server jebol aja kudu open…
Tampilkan lebih banyak",88,442,"Relawan KP  priceless Kalau mereka tidak bersedia probono kerja tanpa dibayar KP tidak akan pernah terjadi Relawan KP datang dari berbagai latar belakang sebagian profesional yg hourly ratenya aja udah di luar nilir Mo bayar pake apa biaya server jebol aja kudu open Tampilkan lebih banyak","relawan kp  priceless kalau mereka tidak bersedia probono kerja tanpa dibayar kp tidak akan pernah terjadi relawan kp datang dari berbagai latar belakang sebagian profesional yg hourly ratenya aja udah di luar nilir mo bayar pake apa biaya server jebol aja kudu open tampilkan lebih banyak","['relawan', 'kp', 'priceless', 'kalau', 'mereka', 'tidak', 'bersedia', 'probono', 'kerja', 'tanpa', 'dibayar', 'kp', 'tidak', 'akan', 'pernah', 'terjadi', 'relawan', 'kp', 'datang', 'dari', 'berbagai', 'latar', 'belakang', 'sebagian', 'profesional', 'yg', 'hourly', 'ratenya', 'aja', 'udah', 'di', 'luar', 'nilir', 'mo', 'bayar', 'pake', 'apa', 'biaya', 'server', 'jebol', 'aja', 'kudu', 'open', 'tampilkan', 'lebih', 'banyak']","['relawan', 'kp', 'priceless', 'bersedia', 'probono', 'kerja', 'dibayar', 'kp', 'relawan', 'kp', 'latar', 'profesional', 'yg', 'hourly', 'ratenya', 'aja', 'udah', 'nilir', 'mo', 'bayar', 'pake', 'biaya', 'server', 'jebol', 'aja', 'kudu', 'open', 'tampilkan']","['rawan', 'kp', 'priceless', 'sedia', 'probono', 'kerja', 'bayar', 'kp', 'rawan', 'kp', 'latar', 'profesional', 'yg', 'hourly', 'ratenya', 'aja', 'udah', 'nilir', 'mo', 'bayar', 'pake', 'biaya', 'server', 'jebol', 'aja', 'kudu', 'open', 'tampil']",rawan kp priceless sedia probono kerja bayar kp rawan kp latar profesional yg hourly ratenya aja udah nilir mo bayar pake biaya server jebol aja kudu open tampil,Negative
KawalPemilu,@KawalPemilu_org,2024-03-13T09:56:42.000Z,"Membalas 
@junaedy_amir
 @RevaldiRevv
  dan 3 lainnya",3,9,"Membalas  dan  lainnya","membalas  dan  lainnya","['membalas', 'dan', 'lainnya']",['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-13T09:55:05.000Z,"Aamiin2 YRA. KP sangat2 apresiasi relawan Kawal di setiap gerakan Kawal. Gak banyak bacot, langsung bergerak & kerja rapi, cepat, tuntas. Terima kasih ya semua relawan KP. ",29,140,Aamiin YRA KP sangat apresiasi relawan Kawal di setiap gerakan Kawal Gak banyak bacot langsung bergerak  kerja rapi cepat tuntas Terima kasih ya semua relawan KP,aamiin yra kp sangat apresiasi relawan kawal di setiap gerakan kawal gak banyak bacot langsung bergerak  kerja rapi cepat tuntas terima kasih ya semua relawan kp,"['aamiin', 'yra', 'kp', 'sangat', 'apresiasi', 'relawan', 'kawal', 'di', 'setiap', 'gerakan', 'kawal', 'gak', 'banyak', 'bacot', 'langsung', 'bergerak', 'kerja', 'rapi', 'cepat', 'tuntas', 'terima', 'kasih', 'ya', 'semua', 'relawan', 'kp']","['aamiin', 'yra', 'kp', 'apresiasi', 'relawan', 'kawal', 'gerakan', 'kawal', 'gak', 'bacot', 'langsung', 'bergerak', 'kerja', 'rapi', 'cepat', 'tuntas', 'terima', 'kasih', 'ya', 'relawan', 'kp']","['aamiin', 'yra', 'kp', 'apresiasi', 'rawan', 'kawal', 'gera', 'kawal', 'gak', 'bacot', 'langsung', 'gerak', 'kerja', 'rapi', 'cepat', 'tuntas', 'terima', 'kasih', 'ya', 'rawan', 'kp']",aamiin yra kp apresiasi rawan kawal gera kawal gak bacot langsung gerak kerja rapi cepat tuntas terima kasih ya rawan kp,Positive
KawalPemilu,@KawalPemilu_org,2024-03-13T09:37:11.000Z,"Membalas 
@MalogaWatch",1,17,"Membalas ","membalas ",['membalas'],['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-13T09:29:32.000Z,"Mindset macam apa ini. Karena open donasi trus harus nrimo dibully ama yg ga hepi ama hasilnya? Kalian ini mental nyogok? Jelas2 itu biaya utk server yg kalian semua bisa akses & gunakan utk verifikasi data, ada laporannya, jelas. Belajar baca dulu lah. MinKa ga penting, yang…
Tampilkan lebih banyak",268,1 rb,"Mindset macam apa ini Karena open donasi trus harus nrimo dibully ama yg ga hepi ama hasilnya Kalian ini mental nyogok Jelas itu biaya utk server yg kalian semua bisa akses  gunakan utk verifikasi data ada laporannya jelas Belajar baca dulu lah MinKa ga penting yang Tampilkan lebih banyak","mindset macam apa ini karena open donasi trus harus nrimo dibully ama yg ga hepi ama hasilnya kalian ini mental nyogok jelas itu biaya utk server yg kalian semua bisa akses  gunakan utk verifikasi data ada laporannya jelas belajar baca dulu lah minka ga penting yang tampilkan lebih banyak","['mindset', 'macam', 'apa', 'ini', 'karena', 'open', 'donasi', 'trus', 'harus', 'nrimo', 'dibully', 'ama', 'yg', 'ga', 'hepi', 'ama', 'hasilnya', 'kalian', 'ini', 'mental', 'nyogok', 'jelas', 'itu', 'biaya', 'utk', 'server', 'yg', 'kalian', 'semua', 'bisa', 'akses', 'gunakan', 'utk', 'verifikasi', 'data', 'ada', 'laporannya', 'jelas', 'belajar', 'baca', 'dulu', 'lah', 'minka', 'ga', 'penting', 'yang', 'tampilkan', 'lebih', 'banyak']","['mindset', 'open', 'donasi', 'trus', 'nrimo', 'dibully', 'ama', 'yg', 'ga', 'hepi', 'ama', 'hasilnya', 'mental', 'nyogok', 'biaya', 'utk', 'server', 'yg', 'akses', 'utk', 'verifikasi', 'data', 'laporannya', 'belajar', 'baca', 'minka', 'ga', 'tampilkan']","['mindset', 'open', 'donasi', 'trus', 'nrimo', 'dibully', 'ama', 'yg', 'ga', 'hepi', 'ama', 'hasil', 'mental', 'nyogok', 'biaya', 'utk', 'server', 'yg', 'akses', 'utk', 'verifikasi', 'data', 'lapor', 'ajar', 'baca', 'minka', 'ga', 'tampil']",mindset open donasi trus nrimo dibully ama yg ga hepi ama hasil mental nyogok biaya utk server yg akses utk verifikasi data lapor ajar baca minka ga tampil,Negative
KawalPemilu,@KawalPemilu_org,2024-03-13T03:55:10.000Z,Maafkan kami  (mengikuti respon kumendan aja yang maafnya luas),8,141,Maafkan kami  mengikuti respon kumendan aja yang maafnya luas,maafkan kami  mengikuti respon kumendan aja yang maafnya luas,"['maafkan', 'kami', 'mengikuti', 'respon', 'kumendan', 'aja', 'yang', 'maafnya', 'luas']","['maafkan', 'mengikuti', 'respon', 'kumendan', 'aja', 'maafnya', 'luas']","['maaf', 'ikut', 'respon', 'dan', 'aja', 'maaf', 'luas']",maaf ikut respon dan aja maaf luas,Positive
KawalPemilu,@KawalPemilu_org,2024-03-12T16:50:59.000Z,"Membalas 
@Civil95i2e",,10,"Membalas ","membalas ",['membalas'],['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-12T16:37:58.000Z,"Membalas 
@deus_xmchn",1,5,"Membalas ","membalas ",['membalas'],['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-12T16:33:58.000Z,"Noted - kalau ternyata memang ada kecurigaan upaya2 mendiskreditkan pendukung paslon tertentu, mulai sekarang yang komen maki-maki, jorok dan gak sopan langsung kami block ya. Biar timeline bersih di bulan suci. ",48,367,Noted  kalau ternyata memang ada kecurigaan upaya mendiskreditkan pendukung paslon tertentu mulai sekarang yang komen makimaki jorok dan gak sopan langsung kami block ya Biar timeline bersih di bulan suci,noted  kalau ternyata memang ada kecurigaan upaya mendiskreditkan pendukung paslon tertentu mulai sekarang yang komen makimaki jorok dan gak sopan langsung kami block ya biar timeline bersih di bulan suci,"['noted', 'kalau', 'ternyata', 'memang', 'ada', 'kecurigaan', 'upaya', 'mendiskreditkan', 'pendukung', 'paslon', 'tertentu', 'mulai', 'sekarang', 'yang', 'komen', 'makimaki', 'jorok', 'dan', 'gak', 'sopan', 'langsung', 'kami', 'block', 'ya', 'biar', 'timeline', 'bersih', 'di', 'bulan', 'suci']","['noted', 'kecurigaan', 'upaya', 'mendiskreditkan', 'pendukung', 'paslon', 'komen', 'makimaki', 'jorok', 'gak', 'sopan', 'langsung', 'block', 'ya', 'biar', 'timeline', 'bersih', 'suci']","['noted', 'curiga', 'upaya', 'diskredit', 'dukung', 'paslon', 'komen', 'makimaki', 'jorok', 'gak', 'sopan', 'langsung', 'block', 'ya', 'biar', 'timeline', 'bersih', 'suci']",noted curiga upaya diskredit dukung paslon komen makimaki jorok gak sopan langsung block ya biar timeline bersih suci,Negative
KawalPemilu,@KawalPemilu_org,2024-03-12T16:28:22.000Z,"Betul sekali, kami tidak akan mampu membayar waktu 500+ orang relawan kami.",15,114,Betul sekali kami tidak akan mampu membayar waktu  orang relawan kami,betul sekali kami tidak akan mampu membayar waktu  orang relawan kami,"['betul', 'sekali', 'kami', 'tidak', 'akan', 'mampu', 'membayar', 'waktu', 'orang', 'relawan', 'kami']","['membayar', 'orang', 'relawan']","['bayar', 'orang', 'rawan']",bayar orang rawan,Negative
KawalPemilu,@KawalPemilu_org,2024-03-12T15:31:13.000Z,"Membalas 
@TrifanyKim96
 @azwa27
 dan 
@AbdulRachimmks",,1,"Membalas  dan ","membalas  dan ","['membalas', 'dan']",['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-12T15:30:20.000Z,"Membalas 
@Ithochan
 @Adjie073
 dan 
@aniesbaswedan",,3,"Membalas  dan ","membalas  dan ","['membalas', 'dan']",['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-12T15:28:49.000Z,"Membalas 
@satrialingkar
 @Insideme11
  dan 2 lainnya",,33,"Membalas  dan  lainnya","membalas  dan  lainnya","['membalas', 'dan', 'lainnya']",['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-12T15:25:49.000Z,"Membalas 
@shallypristine",,4,"Membalas ","membalas ",['membalas'],['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-12T15:23:09.000Z,"Timeline MinKa ngadat, mentions ga keliatan blas - tandanya sudah disuruh berhenti bales-balesin komen

Siap-siap tidur untuk bangun sahur ya teman-teman, semoga besok bisa menjalankan ibadah puasa dengan baik. Jangan lupa niatnya. 

Ramadan Kareem. ",1,45,"Timeline MinKa ngadat mentions ga keliatan blas  tandanya sudah disuruh berhenti balesbalesin komen  Siapsiap tidur untuk bangun sahur ya temanteman semoga besok bisa menjalankan ibadah puasa dengan baik Jangan lupa niatnya   Ramadan Kareem","timeline minka ngadat mentions ga keliatan blas  tandanya sudah disuruh berhenti balesbalesin komen  siapsiap tidur untuk bangun sahur ya temanteman semoga besok bisa menjalankan ibadah puasa dengan baik jangan lupa niatnya   ramadan kareem","['timeline', 'minka', 'ngadat', 'mentions', 'ga', 'keliatan', 'blas', 'tandanya', 'sudah', 'disuruh', 'berhenti', 'balesbalesin', 'komen', 'siapsiap', 'tidur', 'untuk', 'bangun', 'sahur', 'ya', 'temanteman', 'semoga', 'besok', 'bisa', 'menjalankan', 'ibadah', 'puasa', 'dengan', 'baik', 'jangan', 'lupa', 'niatnya', 'ramadan', 'kareem']","['timeline', 'minka', 'ngadat', 'mentions', 'ga', 'keliatan', 'blas', 'tandanya', 'disuruh', 'berhenti', 'balesbalesin', 'komen', 'siapsiap', 'tidur', 'bangun', 'sahur', 'ya', 'temanteman', 'semoga', 'besok', 'menjalankan', 'ibadah', 'puasa', 'lupa', 'niatnya', 'ramadan', 'kareem']","['timeline', 'minka', 'ngadat', 'mentions', 'ga', 'liat', 'blas', 'tanda', 'suruh', 'henti', 'balesbalesin', 'komen', 'siapsiap', 'tidur', 'bangun', 'sahur', 'ya', 'temanteman', 'moga', 'besok', 'jalan', 'ibadah', 'puasa', 'lupa', 'niat', 'ramadan', 'kareem']",timeline minka ngadat mentions ga liat blas tanda suruh henti balesbalesin komen siapsiap tidur bangun sahur ya temanteman moga besok jalan ibadah puasa lupa niat ramadan kareem,Positive
KawalPemilu,@KawalPemilu_org,2024-03-12T15:10:34.000Z,"Membalas 
@Bang_Jemie
 dan 
@ainunnajib",,20,"Membalas  dan ","membalas  dan ","['membalas', 'dan']",['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-12T15:09:53.000Z,"Membalas 
@separuhmatang
 dan 
@ainunnajib",41,233,"Membalas  dan ","membalas  dan ","['membalas', 'dan']",['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-12T14:59:26.000Z,"Membalas 
@men_thank6939
 dan 
@aniesbaswedan",1,12,"Membalas  dan ","membalas  dan ","['membalas', 'dan']",['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-12T14:25:34.000Z,"Abah 
@aniesbaswedan
 pasti bangga dengan pendukungnya yang berpikir gini. Kasian kalo didukung ama yang akhlak dan otak sama2 jele.",189,852,"Abah  pasti bangga dengan pendukungnya yang berpikir gini Kasian kalo didukung ama yang akhlak dan otak sama jele","abah  pasti bangga dengan pendukungnya yang berpikir gini kasian kalo didukung ama yang akhlak dan otak sama jele","['abah', 'pasti', 'bangga', 'dengan', 'pendukungnya', 'yang', 'berpikir', 'gini', 'kasian', 'kalo', 'didukung', 'ama', 'yang', 'akhlak', 'dan', 'otak', 'sama', 'jele']","['abah', 'bangga', 'pendukungnya', 'berpikir', 'gini', 'kasian', 'kalo', 'didukung', 'ama', 'akhlak', 'otak', 'jele']","['abah', 'bangga', 'dukung', 'pikir', 'gin', 'kasi', 'kalo', 'dukung', 'ama', 'akhlak', 'otak', 'jele']",abah bangga dukung pikir gin kasi kalo dukung ama akhlak otak jele,Positive
KawalPemilu,@KawalPemilu_org,2024-03-12T14:22:28.000Z,"Membalas 
@mbahbinong
 dan 
@blank0429",,,"Membalas  dan ","membalas  dan ","['membalas', 'dan']",['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-12T14:19:54.000Z,"Membalas 
@Insideme11
 dan 
@ainunnajib",8,157,"Membalas  dan ","membalas  dan ","['membalas', 'dan']",['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-12T14:14:17.000Z,"Membalas 
@zoelsearegar
 @OktermanLkmn
  dan 4 lainnya",,,"Membalas  dan  lainnya","membalas  dan  lainnya","['membalas', 'dan', 'lainnya']",['membalas'],['balas'],balas,Negative
KawalPemilu,@KawalPemilu_org,2024-03-12T14:12:06.000Z,"Ampun bang, biar Dilan saja ",1,16,Ampun bang biar Dilan saja,ampun bang biar dilan saja,"['ampun', 'bang', 'biar', 'dilan', 'saja']","['ampun', 'bang', 'biar', 'dilan']","['ampun', 'bang', 'biar', 'dil']",ampun bang biar dil,Negative
KawalPemilu,@KawalPemilu_org,2024-03-12T14:10:14.000Z,Semakin menarik timeline malam ini ~ ada tutoring matematika juga bagi yang butuh  ,2,31,Semakin menarik timeline malam ini  ada tutoring matematika juga bagi yang butuh,semakin menarik timeline malam ini  ada tutoring matematika juga bagi yang butuh,"['semakin', 'menarik', 'timeline', 'malam', 'ini', 'ada', 'tutoring', 'matematika', 'juga', 'bagi', 'yang', 'butuh']","['menarik', 'timeline', 'malam', 'tutoring', 'matematika', 'butuh']","['tarik', 'timeline', 'malam', 'tutoring', 'matematika', 'butuh']",tarik timeline malam tutoring matematika butuh,Negative
KawalPemilu,@KawalPemilu_org,2024-03-12T13:46:04.000Z,Testimoni  > jadi relawan KP mempercepat proses 5 stages of grief (baik buat kesehatan mental),16,130,Testimoni   jadi relawan KP mempercepat proses  stages of grief baik buat kesehatan mental,testimoni   jadi relawan kp mempercepat proses  stages of grief baik buat kesehatan mental,"['testimoni', 'jadi', 'relawan', 'kp', 'mempercepat', 'proses', 'stages', 'of', 'grief', 'baik', 'buat', 'kesehatan', 'mental']","['testimoni', 'relawan', 'kp', 'mempercepat', 'proses', 'stages', 'of', 'grief', 'kesehatan', 'mental']","['testimoni', 'rawan', 'kp', 'cepat', 'proses', 'stages', 'of', 'grief', 'sehat', 'mental']",testimoni rawan kp cepat proses stages of grief sehat mental,Positive
