source,target
lestari040270@gmail.com,@Dpp_PKB
lestari040270@gmail.com,@anisbaswedan
@rotibakar92,@OposisiCerdas
@sasmoko_heri,@Umar_Hasibuan__
@Ckio215669,@DPP_PKB
@TerimabaikB,@HalimMiskandar
@TerimabaikB,@AnisBaswedan
@TerimabaikB,@imansyukri
@TerimabaikB,@LilisRitonga
@TerimabaikB,@kemendespdtt
@TerimabaikB,@kemendespdtt
@TerimabaikB,@yusradaridesa
@TerimabaikB,@fachilabalado
@TerimabaikB,@yankas_kzagoto
@Khairi_Afrizal,@cakimiNOW
@Khairi_Afrizal,@DPP_PKB
@Khairi_Afrizal,@baGUSMUHAIMIN24
@Khairi_Afrizal,@Brigade01Arwan1
@Khairi_Afrizal,@EmHasanuddin
@Khairi_Afrizal,@HasanRofiqi4
@Syafaruddinzein,@aly_benzema
@mrcilok,@faridgaban
@alfarizqi1803,@voiceofpkb
@alfarizqi1803,@cakimiNOW
@Sudarso25738823,@voiceofpkb
@Sudarso25738823,@cakimiNOW
@JalanKe83957796,@hansinergy
@JalanKe83957796,@abwnews_
@JalanKe83957796,@hansinergy
@JalanKe83957796,@abwnews_
@fulpian2,@VIVAcoid
@Ismu_Razali,@ainunnajib
@dpacpkbkoja,@dpwpkbjakarta
@dpacpkbkoja,@hasbipkb
@dpacpkbkoja,@aniesbaswedan
@dpacpkbkoja,@Official_NasDem
@UniversZidan,@jokowi
@leman_woyo,@prabowo
@AntiRomansha,@msaid_didu
@AkhiyakYayak,@ekowboy2
@BudiWid42032126,@MelodiAsyik
@MrNiceG05007810,@trizsutrisno2
@MrNiceG05007810,@agushaes01
@UniversZidan,@__AnakKolong
@UniversZidan,@PDI_Perjuangan
@sipganjar,@Ryan_wkaq
@sipganjar,@CNNIndonesia
@RixMarchsin89,@Dennysiregar7
@AbdHali59646742,@baharirwan2
@AbdHali59646742,@sabanabana5
@ArisdonoIn68858,@Nicho_Silalahi
@AsepSolehSolah3,@tvOneNews
@Bill23794356,@mbahjhojho
@hartoyo5989pr,@JalanDakwahKita
@hartoyo5989pr,@tvOneNews
@Rifai03751150,@Dennysiregar7
@Rifai03751150,@ganjarpranowo
@AntiRomansha,@jansen_jsp
@DariyaDarius,@hamdanzoelva
@alwiyadoni18,@Hasbil_Lbs
@alwiyadoni18,@abu_hafidz66
@HutajuluJhonson,@Pai_C1
@fransiscus_rudy,@MarahIchsan
@farid_bawazir,@ganjarpranowo
@fawzia_be,@Hasbil_Lbs
@fawzia_be,@aniesbaswedan
@JhoUno6,@CNNIndonesia
@LizawatiLeni,@voiceofpkb
@LizawatiLeni,@cakimiNOW
@LizawatiLeni,@aniesbaswedan
@AnisMuha1004,@Andiarief__
@AnisMuha1004,@aniesbaswedan
@attakhiyat,@detikcom
@Wedangan4,@liaasister
@wicaksonoyanti1,@voiceofpkb
@wicaksonoyanti1,@cakimiNOW
@wicaksonoyanti1,@aniesbaswedan
@Samsir_ST,@BagusMuhaiminS1
@Samsir_ST,@voiceofpkb
@Risty85679464,@voiceofpkb
@Risty85679464,@cakimiNOW
@Risty85679464,@aniesbaswedan
@AnakLeuweng,@Nicho_Silalahi
@27_derdor,@ajengcute16__
@AnakLeuweng,@Zero8ok
@an_kp111,@cakiminNOW
@an_kp111,@DPP_PKB
@an_kp111,@anisbaswedan
@syambayu,@nandoe_73
@syambayu,@danielht2009
@HasaniRidw88558,@voiceofpkb
@HasaniRidw88558,@cakimiNOW
@HasaniRidw88558,@aniesbaswedan
@ekawati_sy80375,@DPP_PKB
@ekawati_sy80375,@saidaqil
@YUDHI_Laksana,@pakaipeci
@RusliM123,@voiceofpkb
@RusliM123,@cakimiNOW
@RusliM123,@aniesbaswedan
@HariSugiono18,@PDI_Perjuangan
@piliang_me54054,@voiceofpkb
@piliang_me54054,@cakimiNOW
@piliang_me54054,@aniesbaswedan
@Yusaz,@voiceofpkb
@Yusaz,@cakimiNOW
@Yusaz,@aniesbaswedan
@yantiya09675782,@voiceofpkb
@yantiya09675782,@cakimiNOW
@yantiya09675782,@aniesbaswedan
@RamlanMoniaha2,@voiceofpkb
@RamlanMoniaha2,@cakimiNOW
@RamlanMoniaha2,@aniesbaswedan
@christinapjtn,@voiceofpkb
@christinapjtn,@cakimiNOW
@christinapjtn,@aniesbaswedan
@ekabecee,@DPP_PKB
@ekabecee,@aniesbaswedan
@ekabecee,@cakimiNOW
@pr3154533,@voiceofpkb
@pr3154533,@cakimiNOW
@pr3154533,@aniesbaswedan
@AliHasyimMuda1,@voiceofpkb
@AliHasyimMuda1,@cakimiNOW
@AliHasyimMuda1,@aniesbaswedan
@an_kp111,@cakiminNOW
@an_kp111,@DPP_PKB
@an_kp111,@anisbaswedan
@KaumSarung22833,@cakimiNOW
@KaumSarung22833,@DPP_PKB
@ariati23020,@voiceofpkb
@ariati23020,@cakimiNOW
@ariati23020,@aniesbaswedan
@moss_mau,@voiceofpkb
@moss_mau,@cakimiNOW
@moss_mau,@DPP_PKB
@hamdirohman5,@voiceofpkb
@hamdirohman5,@cakimiNOW
@hamdirohman5,@aniesbaswedan
@albakowah,@OposisiCerdas
@AshuriHaqi39211,@ch_chotimah2
@MjAgungNugroho1,@BennyHarmanID
@kardyusman,@PDemokrat
@kardyusman,@Herzaky__MP
@kardyusman,@panca66
@afuwwonk299,@Hasbil_Lbs
@afuwwonk299,@NasDem
@an_kp111,@cakiminNOW
@an_kp111,@DPP_PKB
@an_kp111,@anisbaswedan
@yusufagro,@alfatih_ghazy
@yusufagro,@bengkeldodo
@afuwwonk299,@jansen_jsp
@KomentarN,@razantataa
@KomentarN,@utdfocusid
@Martin050677,@03__nakula
@Bodronoyojoyo,@ajengcute16__
@Fabri_fabri20,@03__nakula
@Abdulla67870195,@cakimiNOW
@Abdulla67870195,@aniesbaswedan
@baummustholahul,@Miaiffarianisya
@JadahKopok,@Lisaamartatara6
@JadahKopok,@TyrexMaximus
@edwingosal,@loststara
@JnKahfi,@CNNIndonesia
@Hrshsbllh,@CNNIndonesia
@WisnurRecord82,@jansen_jsp
@WisnurRecord82,@aniesbaswedan
@iyoet__1075,@KompasTV
@bebit_computer,@deyis_Gresik
@bebit_computer,@TheNext2024
@Proflematik,@KurangGocap6
@bebit_computer,@TheNext2024
@bebit_computer,@cakiminnow
muslem@531,@AnisBaswedan
muslem@531,@cakimiNOW
muslem@531,@DPP_PKB
muslem@531,@imansyukri
muslem@531,@zainul_munas
muslem@531,@Mursyidan11
@niwablezinky,@aniesbaswedan
@niwablezinky,@PKSejahtera
@AcutZahlul,@AnisBaswedan
@AcutZahlul,@cakimiNOW
@AcutZahlul,@DPP_PKB
@AcutZahlul,@imansyukri
@AcutZahlul,@zainul_munas
@AcutZahlul,@Mursyidan11
@ChozinMas,@cakimiNOW
@juned1979,@AnisBaswedan
@juned1979,@cakimiNOW
@juned1979,@DPP_PKB
@juned1979,@imansyukri
@juned1979,@zainul_munas
@juned1979,@Mursyidan11
@elhakim1705,@DPP_PKB
@elhakim1705,@aniesbaswedan
@elhakim1705,@cakimiNOW
@TheNext2024,@cakiminNOW
@TheNext2024,@DPP_PKB
@TheNext2024,@anisbaswedan
@AbdulHa28210306,@AnisBaswedan
@AbdulHa28210306,@cakimiNOW
@AbdulHa28210306,@DPP_PKB
@AbdulHa28210306,@imansyukri
@AbdulHa28210306,@zainul_munas
@AbdulHa28210306,@Mursyidan11
@AfdillahEf7612,@cakimiNOW
@AfdillahEf7612,@aniesbaswedan
@chan_azral,@OposisiCerdas
@aziah_safrina,@AnisBaswedan
@aziah_safrina,@cakimiNOW
@aziah_safrina,@DPP_PKB
@aziah_safrina,@imansyukri
@aziah_safrina,@zainul_munas
@aziah_safrina,@Mursyidan11
@iyoet__1075,@Tita83079013
@iyoet__1075,@SalamSantun_
@iyoet__1075,@Demokrat_TV
@hari62582721470,@Dennysiregar7
@hari62582721470,@Ansor_Satu
@henrysunardi851,@msaid_didu
@henrysunardi851,@aniesbaswedan
@henrysunardi851,@sudirmansaid
@KhoiriZainudin,@Dennysiregar7
@iyoet__1075,@Dennysiregar7
@AyikMz,@RomitsuT
@AndriMilanello,@narkosun
@afuwwonk299,@PDemokrat
@zahaparawali222,@AgusYudhoyono
@suwito_abdullah,@DokterTifa
@suwito_abdullah,@didienAZHAR
@v0dkasplash,@UGM_FESS
@babe_ail,@ekowboy2
@babe_ail,@aniesmania
@RuriSuhendri,@KING_VADUKA
K@des,@ajengcute16__
@JodiJodi2371,@aniesbaswedan
@lutnisah,@SeputarAHY
@idiartoa,@opposite6892
@PediaHoror,@MARQUEZ__93
@sirajuddin80177,@AmirAlisbw
@sirajuddin80177,@gopurwandi
@AbdHali59646742,@DarsAlexandra1
@MochZamroni9,@update_politik
@ariftriw,@ajengcute16__
@MaraUniq,@AdindaAsmara07
@AkbarHore1,@yusuf_dumdum
@SBarqun,@PKSejahtera
Hendra@@,@voiceofpkb
@AchsanKhan,@abu_waras
@AchsanKhan,@Demokrat_TV
@AchsanKhan,@AgusYudhoyono
@afuwwonk299,@Herzaky__MP
@afuwwonk299,@Demokrat_TV
@afuwwonk299,@PDemokrat
@Krisna0902022,@Herzaky__MP
@Krisna0902022,@PDemokrat
@ZZaxian,@republikaonline
@2001Tgk,@geloraco
@deniss4lam,@ekowboy2
@laluhamlik2,@laluhamlik2
@laluhamlik2,@aniesbaswedan
@SBarqun,@NasDem
@SBarqun,@aniesbaswedan
@SBarqun,@cakimiNOW
@TyoGreack,@QianzyZ
@trisnajavanindo,@TWsubaruu
@trisnajavanindo,@DrEvaChaniago
@hartoyo5989pr,@ekowboy2
@Krisna0902022,@Herzaky__MP
@AnsyarEpendi,@cakimiNOW
@AnsyarEpendi,@DPP_PKB
@AnsyarEpendi,@anisbaswedan
@yusran9274,@MuhiqR
@yusran9274,@choymarkochoy
@rafiiii_10,@corp_slave1
@rafiiii_10,@Gerindra
@Youtube16464723,@cakimiNOW
@Youtube16464723,@DPP_PKB
@Youtube16464723,@anisbaswedan
@reality151515,@panca66
@salahuddin_polo,@cakimiNOW
@salahuddin_polo,@DPP_PKB
@salahuddin_polo,@aniesbaswedan
@salahuddin_polo,@lairasultra1
@salahuddin_polo,@darampa1
@salahuddin_polo,@alani_laode
@salahuddin_polo,@BangJay_sf
@salahuddin_polo,@BagusMuhaiminS1
@omucok10,@DPP_PKB
@omucok10,@baGUSMUHAIMIN24
@omucok10,@cakimiNOW
@kardyusman,@awemany
@Kitabisa2024,@voiceofpkb
@Kitabisa2024,@cakimiNOW
@sukarya_iman,@voiceofpkb
@Kitabisa2024,@DPP_PKB
@Kitabisa2024,@aniesbaswedan
@Kitabisa2024,@cakimiNOW
@AbuHabi35156853,@hnurwahid
@AbuHabi35156853,@PKSejahtera
@BustanulKarimah,@cakiminNOW
@BustanulKarimah,@DPP_PKB
@BustanulKarimah,@anisbaswedan
@bachtiar3431,@DPP_PKB
@bachtiar3431,@AnisBaswedan
@bachtiar3431,@Cakiminow
@Nashih953,@cakiminNOW
@Nashih953,@DPP_PKB
@Nashih953,@anisbaswedan
@Nashih953,@cakiminNOW
@Nashih953,@DPP_PKB
@Nashih953,@anisbaswedan
@AbrorMuhyi58589,@cakiminNOW
@AbrorMuhyi58589,@DPP_PKB
@AbrorMuhyi58589,@anisbaswedan
@akhmadr39221494,@DPP_PKB
@akhmadr39221494,@aniesbaswedan
@akhmadr39221494,@cakimiNOW
@ArohmaniArrohim,@aniesbaswedan
@ArohmaniArrohim,@cakimiNOW
@ArohmaniArrohim,@DPP_PKB
@rkisnadi,@Demokrat_TV
@moban_s,@cakimiNOW
@moban_s,@DPP_PKB
@moban_s,@AnisBaswedan
@KajiRosyid01,@cakimiNOW
@KajiRosyid01,@DPP_PKB
@KajiRosyid01,@AnisBaswedan
@DendyStohan,@cakimiNOW
@DendyStohan,@DPP_PKB
@DendyStohan,@anisbaswedan
@heni_wee,@cakiminNOW
@heni_wee,@DPP_PKB
@heni_wee,@anisbaswedan
@yadimarwan1,@cakimiNOW
@yadimarwan1,@DPP_PKB
@yadimarwan1,@aniesbaswedan
@mujaaulia29,@FarrahSama
@mujaaulia29,@AbaHatufara
@mujaaulia29,@Humairah_922
@AndriGalaksi,@DPP_PKB
@AndriGalaksi,@aniesbaswedan
@AndriGalaksi,@cakimiNOW
@agustina_ika19,@cakimiNOW
@agustina_ika19,@DPP_PKB
@agustina_ika19,@aniesbaswedan
@tugiman48498577,@CakiminNOW
@tugiman48498577,@DPP_PKB
@tugiman48498577,@anisbaswedan
@tugiman48498577,@cakimiNOW
@Mulyadi84332437,@cakiminnow
@Mulyadi84332437,@DPP_PKB
@Mulyadi84332437,@anisbaswedan
@zulfahfahdi,@DPP_PKB
@zulfahfahdi,@aniesbaswedan
@zulfahfahdi,@cakimiNOW
@Husniaj60508663,@aniesbaswedan
@Husniaj60508663,@cakimiNOW
@Husniaj60508663,@DPP_PKB
@UsmanRa97806973,@cakimiNow
@UsmanRa97806973,@DPP_PKB
@UsmanRa97806973,@anisbaswedan
@an_patti,@cakimiNOW
@an_patti,@DPP_PKB
@an_patti,@anisbaswedan
@KspMarlina,@cakIminNOW
@KspMarlina,@DPP_PKB
@KspMarlina,@ANISBASWEDAN
@Pasaribufamili,@aniesbaswedan
@Pasaribufamili,@cakimiNOW
@Pasaribufamili,@DPP_PKB
@FestusAjami,@Hasbil_Lbs
@erhanardianda,@davidgoliath999
@arifsaifullah80,@cakiminNOW
@arifsaifullah80,@DPP_PKB
@arifsaifullah80,@anisbaswedan
@mujaaulia29,@arwidodo
@RicoSeaHomeBing,@musniumar
@ferdycta,@aniesbaswedan
@ferdycta,@cakimiNOW
@ferdycta,@DPP_PKB
@hansguderian123,@kejungkal
@hansguderian123,@strike_bravo_b
@Suryant26490931,@DPP_PKB
@Suryant26490931,@aniesbaswedan
@Suryant26490931,@cakimiNOW
@AlfaDeltaRomeo3,@AnKiiim_
@aminKD87,@cakimiNOW
@aminKD87,@DPP_PKB
@aminKD87,@AnisBaswedan
@Andisriwibowo1,@voiceofpkb
@Mansurajalah,@cakiminnow
@Mansurajalah,@DPP_PKB
@Mansurajalah,@AnisBaswedan
@NitaDinika,@voiceofpkb
@NitaDinika,@DPP_PKB
@NitaDinika,@aniesbaswedan
@NitaDinika,@cakimiNOW
@andresese232,@Hasbil_Lbs
@maria_senni,@DPP_PKB
@maria_senni,@aniesbaswedan
@maria_senni,@cakimiNOW
@NitaDinika,@DPP_PKB
@NitaDinika,@aniesbaswedan
@NitaDinika,@cakimiNOW
@RicoSeaHomeBing,@logikapolitikid
@RicoSeaHomeBing,@prabowo
@RicoSeaHomeBing,@AgusYudhoyono
@Rahman47155,@cakiminNOW
@Rahman47155,@DPP_PKB
@Rahman47155,@anisbaswedan
@Rahman47155,@cakiminNOW
@Rahman47155,@DPP_PKB
@Rahman47155,@anisbaswedan
@Petu_Ret102106,@Milaniac1ndo
@Petu_Ret102106,@aniesbaswedan
@Baston23249254,@cakiminNOW
@Baston23249254,@DPP_PKB
@Baston23249254,@anisbaswedan
@LuckyLinta56889,@voiceofpkb
@LuckyLinta56889,@aniesbaswedan
@LuckyLinta56889,@cakimiNOW
@KanjengSalamet,@cakiminNOW
@KanjengSalamet,@DPP_PKB
@KanjengSalamet,@anisbaswedan
@BaswedanIman,@aniesbaswedan
@BaswedanIman,@cakimiNOW
@BaswedanIman,@DPP_PKB
@AdiSaja21446693,@DPP_PKB
@AdiSaja21446693,@cakimiNOW
@AdiSaja21446693,@Anisbaswedan
@andiloponsel,@DPP_PKB
@andiloponsel,@aniesbaswedan
@andiloponsel,@cakimiNOW
@StenReyn,@voiceofpkb
@StenReyn,@cakimiNOW
@andiloponsel,@DPP_PKB
@andiloponsel,@aniesbaswedan
@andiloponsel,@cakimiNOW
@StenReyn,@voiceofpkb
@StenReyn,@DPP_PKB
@StenReyn,@aniesbaswedan
@StenReyn,@cakimiNOW
@TerimabaikB,@halimiskandarnu
@TerimabaikB,@AnisBaswedan
@TerimabaikB,@yusradaridesa
@TerimabaikB,@LilisRitonga
@TerimabaikB,@tppkemendes
@TerimabaikB,@imansyukri
@TerimabaikB,@ya
@nurhayatin15301,@DPP_PKB
@nurhayatin15301,@aniesbaswedan
@nurhayatin15301,@cakimiNOW
@siswadisis087,@cakiminow
@siswadisis087,@dpp_pkb
@siswadisis087,@anisbaswedan
@siswadisis087,@cakiminow
@siswadisis087,@dpp_pkb
@siswadisis087,@anisbaswedan
@safriza50411785,@DPP_PKB
@safriza50411785,@aniesbaswedan
@safriza50411785,@cakimiNOW
@JnKahfi,@tehsintia
@JnKahfi,@CNNIndonesia
@cutlemdaya,@voiceofpkb
@TEkanadi1441,@cakimiNOW
@TEkanadi1441,@DPP_PKB
@TEkanadi1441,@AnisBaswedan
@Syafaruddinzein,@Hasbil_Lbs
@Ainun_EmHa_N9,@voiceofpkb
@lumanglaming10,@cakimiNOW
@lumanglaming10,@DPP_PKB
@lumanglaming10,@aniesbaswedan
@KinoySoya,@KinoySoya
@MaulanRunga,@voiceofpkb
@ardiko216,@Hasbil_Lbs
@ininilalala,@cakiminNOW
@ininilalala,@DPP_PKB
@ininilalala,@anisbaswedan
@MaulanRunga,@DPP_PKB
@MaulanRunga,@aniesbaswedan
@MaulanRunga,@cakimiNOW
@diarnurdiansyh,@cakiminNOW
@diarnurdiansyh,@DPP_PKB
@diarnurdiansyh,@anisbaswedan
@Legawo88,@cakimiNOW
@Legawo88,@DPP_PKB
@Legawo88,@AnisBaswedan
@SopianPulungan1,@cakiminnow
@SopianPulungan1,@DPP_PKB
@SopianPulungan1,@AnisBaswedan
@daridesa18,@DPP_PKB
@daridesa18,@aniesbaswedan
@daridesa18,@cakimiNOW
@WaUna10,@cakimiNOW
@WaUna10,@DPP_PKB
@WaUna10,@anisbaswedan
@Mahyuniindra84,@hnurwahid
@RasimanPohan,@cakiminnow
@RasimanPohan,@DPP_PKB
@RasimanPohan,@AnisBaswedan
@wina941832271,@DPP_PKB
@wina941832271,@aniesbaswedan
@wina941832271,@cakimiNOW
@poba356199,@cakimiNOW
@poba356199,@DPP_PKB
@poba356199,@baGUSMUHAIMIN24
@poba356199,@Brigade01Arwan1
@poba356199,@EmHasanuddin
@poba356199,@HasanRofiqi4
@SaifulAfwa2930,@DPP_PKB
@SaifulAfwa2930,@aniesbaswedan
@SaifulAfwa2930,@cakimiNOW
@AtokHadi5,@cakimiNOW
@AtokHadi5,@DPP_PKB
@AtokHadi5,@AnisBaswedan
@Abd_rohman1293,@Ahmad692x
@Abd_rohman1293,@Mdy_Asmara1701
@Abd_rohman1293,@aniesbaswedan
@RenziEdi92822,@voiceofpkb
@mamakhariadi,@aniesbswedan
@mamakhariadi,@NasDem
@mamakhariadi,@suryapaloh51
@mamakhariadi,@AgusYudhoyono
@Syamhusna117863,@DPP_PKB
@Syamhusna117863,@aniesbaswedan
@Syamhusna117863,@cakimiNOW
@SupriyantoLamp1,@BagusMuhaiminS1
@SupriyantoLamp1,@DPP_PKB
@SupriyantoLamp1,@feri_sus77bkl
@SupriyantoLamp1,@anditj2404
@IrafeliNano,@aniesbaswedan
@IrafeliNano,@cakimiNOW
@sinor_mulia91,@DPP_PKB
@sinor_mulia91,@aniesbaswedan
@sinor_mulia91,@cakimiNOW
@NanangS47317211,@cakimiNOW
@NanangS47317211,@DPP_PKB
@NanangS47317211,@AnisBaswedan
@XHxRpCkCNLsKhaa,@voiceofpkb
@Budiantojaya01,@DPP_PKB
@Budiantojaya01,@aniesbaswedan
@Budiantojaya01,@cakimiNOW
@ruzief07,@DPP_PKB
@ruzief07,@aniesbaswedan
@ruzief07,@cakimiNOW
@XHxRpCkCNLsKhaa,@DPP_PKB
@XHxRpCkCNLsKhaa,@aniesbaswedan
@XHxRpCkCNLsKhaa,@cakimiNOW
@MahrifAma,@cakimiNOW
@MahrifAma,@DPP_PKB
@MahrifAma,@AnisBaswedan
@MahrifAma,@cakimiNOW
@MahrifAma,@DPP_PKB
@MahrifAma,@AnisBaswedan
@badaiborneo,@ekowboy2
@XHxRpCkCNLsKhaa,@DPP_PKB
@XHxRpCkCNLsKhaa,@aniesbaswedan
@XHxRpCkCNLsKhaa,@cakimiNOW
@Rizali23597763,@DPP_PKB
@Rizali23597763,@aniesbaswedan
@Rizali23597763,@cakimiNOW
@mak_fina0910,@potcasas1
@mak_fina0910,@cakimiNOW
@tarlanitea82,@cakiminNOW
@tarlanitea82,@DPP_PKB
@tarlanitea82,@anisbaswedan
@NurwatiIis,@cakimin
@NurwatiIis,@DPP_PKB
@NurwatiIis,@AnisBaswedan
@Amiruddinpt1,@cakimiNOW
@Amiruddinpt1,@DPP_PKB
@Amiruddinpt1,@anisbaswedan
@gocad2,@msaid_didu
@gocad2,@aniesbaswedan
@AraGiwangkara,@voiceofpkb
@MahrifAma,@cakimiNOW
@MahrifAma,@DPP_PKB
@MahrifAma,@AnisBaswedan
@Britaikuh,@NasDem
@budirahmatputr1,@DPP_PKB
@PriselpiaB,@CakImiNow
@PriselpiaB,@DPP_PKB
@PriselpiaB,@anisbaswedan
@amo_mnoor,@DPP_PKB
@amo_mnoor,@aniesbaswedan
@amo_mnoor,@cakimiNOW
@AsepWah73325331,@DPP_PKB
@AsepWah73325331,@aniesbaswedan
@AsepWah73325331,@cakimiNOW
@amo_mnoor,@DPP_PKB
@amo_mnoor,@aniesbaswedan
@amo_mnoor,@cakimiNOW
@beritajatimcom,@beritajatimcom
@domianusjimi12,@DPP_PKB
@domianusjimi12,@cakimiNOW
@domianusjimi12,@AnisBaswedan
@waipi20,@cakimiNOW
@waipi20,@DPP_PKB
@waipi20,@DPP_PKB
@waipi20,@AnisBaswedan
@Fz1403,@Om_Gilangg
@SecaraJabatan,@PartaiSocmed
@drkohar,@yusuf_dumdum
@brochandra,@M45Broo
@rnpranata78,@WagimanDeep212_
@tbnoeri_,@Auliaginanjar_
@tbnoeri_,@Heraloebss
@RivalIstana,@sindoe
