account_name,username,created_at,tweet,retweets,likes,text_clean,text_preprocessed,polarity_score,polarity
(ゝω・´★),@shezhnaya,2024-04-02T18:55:53.000Z,WKSKQKAKAKK kalau ada orang yang opininya jelek liat aja kemarin pemilu pilih siapa ,,,wkskqkakakk opininya jelek lihat pemilu pilih,"['wkskqkakakk', 'opini', 'jelek', 'lihat', 'milu', 'pilih']",-4,negative
naa - loker wfh on pinned,@idolletes,2024-04-02T18:37:00.000Z,#zonauang #zonajajan #infoloker #lokerwfh info loker parttime part time freelance freelancer pelajar mahsiswa kuliah sekolah wfh iphone netflix disney+ viu joki wts wtb pc konser tiket pemilu anies imin prabowo gibran ganjar mahfud r,,1.0,informasi loker parttime part time freelance freelancer pelajar mahsiswa kuliah sekolah wfh iphone netflix disney viu joki wts wtb pc konser tiket pemilu anies imin prabowo gibran ganjar mahfud r,"['informasi', 'loker', 'parttime', 'part', 'time', 'freelance', 'freelancer', 'ajar', 'mahsiswa', 'kuliah', 'sekolah', 'wfh', 'iphone', 'netflix', 'disney', 'viu', 'joki', 'wts', 'wtb', 'pc', 'konser', 'tiket', 'milu', 'anies', 'imin', 'prabowo', 'gibran', 'ganjar', 'mahfud', 'r']",2,positive
umbulewa,@umbulewa77,2024-04-02T18:36:13.000Z,"Hasil gugatan di MK sudah diketahui, seperti PEMILU sudah tahu pemenangnya sebelum pencoblosan.",,3.0,hasil gugatan mk pemilu pemenangnya pencoblosan,"['hasil', 'gugat', 'mk', 'milu', 'menang', 'coblos']",2,positive
Den Bagus,@DenBagus91276,2024-04-02T18:36:08.000Z,Rakyat pasti setuju dan mendukung kalo kapolri hadir jadi saksi di MK terkait kecurangan PEMILU,,1.0,rakyat setuju mendukung kapolri hadir saksi mk terkait kecurangan pemilu,"['rakyat', 'tuju', 'dukung', 'kapolri', 'hadir', 'saksi', 'mk', 'kait', 'curang', 'milu']",-1,negative
Supaidaman,@Supaidaman18,2024-04-02T18:30:18.000Z,"Kalau ada parpol yang pemilu janji ""kami berada di pihak rakyat"" tau tau ngomong gini, mending bubar aja. Munafik banget. Bangga banget hidup dari duit pajak.",,,kalau partai politik pemilu janji rakyat bicara gini lebih baik bubar munafik banget bangga banget duit pajak,"['partai', 'politik', 'milu', 'janji', 'rakyat', 'bicara', 'gin', 'bubar', 'munafik', 'banget', 'bangga', 'banget', 'duit', 'pajak']",-1,negative
mfathe09,@mfathe09,2024-04-02T18:30:08.000Z,Memangnya bisa boikot pemilu bisa” ditinggal sbg peserta bahkan dicaci maki masyarakat,,,memangnya boikot pemilu ditinggal sbg peserta dicaci maki masyarakat,"['memang', 'boikot', 'milu', 'tinggal', 'sbg', 'serta', 'caci', 'maki', 'masyarakat']",-8,negative
Tribun Rakyat,@tribun_rakyat,2024-04-02T18:23:44.000Z,"Hoaks & Kampanye Hitam Pemilu: Suasana 2024 Lebih Baik Ketimbang Pemilu Sebelumnya, Bersyukur Politik SARA Bisa Dihindari
#Pemilu2024 #MahkamahKonstitusi #RekonsiliasiNasional #Repdem #AbrahamLeoTanditasik

https://youtu.be/w2kXnEl1nAg",,,hoaks kampanye hitam pemilu suasana lebih baik ketimbang pemilu sebelumnya bersyukur politik sara bisa dihindari,"['hoaks', 'kampanye', 'hitam', 'milu', 'suasana', 'ketimbang', 'milu', 'syukur', 'politik', 'sara', 'hindar']",4,positive
angel.,@alsuratna,2024-04-02T18:12:35.000Z,"Speaking of ijazah palsu presiden, gue juga sebenernya penasaran sih kebenarannya. Karena 2 capres pemilu tahun ini satu almet ma pres menjabat, tapi ko kualitas public speaking-nya beda jauh bgt gila. Itu baru dari satu aspek ",,,speaking of ijazah palsu presiden sebenernya penasaran sih kebenarannya karena capres pemilu almet ma pres menjabat ko kualitas publik speakingnya beda banget gila itu aspek,"['speaking', 'of', 'ijazah', 'palsu', 'presiden', 'sebenernya', 'penasaran', 'sih', 'benar', 'capres', 'milu', 'almet', 'ma', 'pres', 'jabat', 'ko', 'kualitas', 'publik', 'speakingnya', 'beda', 'banget', 'gila', 'aspek']",-8,negative
Nico Simanjuntak,@Simanjunta9Nico,2024-04-02T18:07:38.000Z,"Sidang PHPU untuk Pertegas Keterlibatan Jokowi dalam Kecurangan Pemilu 2024.

Masyarakat akan semakin terbuka dan sadar jika pencalonan Gibran Rakabuming Raka sebagai cawapres telah melanggar etika berdemokrasi.

https://kbanews.com/hot-news/sidang-phpu-untuk-pertegas-keterlibatan-jokowi-dalam-kecurangan-pemilu-2024/…
@BMultinovic
 @choymarkochoy
 @STresnowati1",,1.0,sidang phpu pertegas keterlibatan jokowi dalam kecurangan pemilu masyarakat terbuka sadar pencalonan gibran rakabuming raka cawapres melanggar etika berdemokrasi,"['sidang', 'phpu', 'tegas', 'libat', 'jokowi', 'curang', 'milu', 'masyarakat', 'buka', 'sadar', 'calon', 'gibran', 'rakabuming', 'raka', 'cawapres', 'langgar', 'etika', 'demokrasi']",-6,negative
Nico Simanjuntak,@Simanjunta9Nico,2024-04-02T18:05:38.000Z,"Sidang PHPU, Emrus Sihombing: Jangan Ada Intimidasi Saksi.

Pemilu 2024 sudah tidak lagi mencerminkan Indonesia sebagai negara berdemokrasi. Banyak kecurangan yang didasari oleh pelanggaran etika kekuasaan.",,,sidang phpu emrus sihombing jangan ada intimidasi saksi pemilu tidak mencerminkan indonesia negara berdemokrasi banyak kecurangan didasari pelanggaran etika kekuasaan,"['sidang', 'phpu', 'emrus', 'sihombing', 'intimidasi', 'saksi', 'milu', 'cermin', 'indonesia', 'negara', 'demokrasi', 'curang', 'dasar', 'langgar', 'etika', 'kuasa']",-5,negative
Be - Ka,@Sutan_AdiL,2024-04-02T17:53:45.000Z,"Harus nya vid ini di tayang juga di gedung #MK biar semua lihat kalau pemilu kemarin itu demi kepentingan keluarga 
@jokowi
 bukan buat Rakyat dan Negara,..!",,1.0,harus nya vid tayang gedung biar lihat pemilu kepentingan keluarga bukan rakyat negara,"['nya', 'vid', 'tayang', 'gedung', 'biar', 'lihat', 'milu', 'penting', 'keluarga', 'rakyat', 'negara']",6,positive
Haudl Al Kautsar,@hani_titik,2024-04-02T17:51:58.000Z,Ada 10 mobil bawa uang cash untuk operasi politik 2 hari sebelum pemilu,1.0,4.0,ada mobil bawa uang cash operasi politik pemilu,"['mobil', 'bawa', 'uang', 'cash', 'operasi', 'politik', 'milu']",1,positive
rakyat biasa,@rakyatbiasa33,2024-04-02T17:47:29.000Z,"abis nonton debat ini, masih sama 90% sengketa pemilu gk akan mengubah hasil prabowo gibaran didiskualifikasi. kita liat strategi apa yg akan dimainkan ketika mentri dan DKPP dipanggil MK. ",,,habis nonton debat sengketa pemilu gk mengubah hasil prabowo gibaran didiskualifikasi lihat strategi dimainkan mentri dkpp dipanggil mk,"['habis', 'nonton', 'debat', 'sengketa', 'milu', 'gk', 'ubah', 'hasil', 'prabowo', 'gibaran', 'diskualifikasi', 'lihat', 'strategi', 'main', 'tri', 'dkpp', 'panggil', 'mk']",8,positive
naa - loker wfh on pinned,@idolletes,2024-04-02T17:37:00.000Z,#zonauang #zonajajan #infoloker #lokerwfh info loker parttime part time freelance freelancer pelajar mahsiswa kuliah sekolah wfh iphone netflix disney+ viu joki wts wtb pc konser tiket pemilu anies imin prabowo gibran ganjar mahfud q,,1.0,informasi loker parttime part time freelance freelancer pelajar mahsiswa kuliah sekolah wfh iphone netflix disney viu joki wts wtb pc konser tiket pemilu anies imin prabowo gibran ganjar mahfud q,"['informasi', 'loker', 'parttime', 'part', 'time', 'freelance', 'freelancer', 'ajar', 'mahsiswa', 'kuliah', 'sekolah', 'wfh', 'iphone', 'netflix', 'disney', 'viu', 'joki', 'wts', 'wtb', 'pc', 'konser', 'tiket', 'milu', 'anies', 'imin', 'prabowo', 'gibran', 'ganjar', 'mahfud', 'q']",2,positive
COSMIC TOKYO LIGHTS,@fauzanrifan1,2024-04-02T17:26:08.000Z,"Jika semua tak percaya pada KPU dan Bawaslu.. harusnya dari awal2 mrk komplain agar 2 penyelenggara pemilu tsb di ganti. Bukannya skr setelah kalah.. 
Jangan2 nti klo MK memutuskan 02 menang, eh minta MK di ganti dgn minta PBB ikut campur...
Dasar kaum halu....",,,jika tidak percaya kpu bawaslu awal mrk komplain penyelenggara pemilu ganti bukannya skr kalah jangan nti mk memutuskan menang eh mk ganti pbb campur dasar kaum halu,"['percaya', 'kpu', 'bawaslu', 'mrk', 'komplain', 'selenggara', 'milu', 'ganti', 'skr', 'kalah', 'nti', 'mk', 'putus', 'menang', 'eh', 'mk', 'ganti', 'pbb', 'campur', 'dasar', 'kaum', 'halu']",3,positive
Hadi Purwanto,@HadiPWT2023,2024-04-02T17:26:04.000Z,"Keputusan 90, adalah triger ledakan dalam pemilu 2024",,,keputusan triger ledakan dalam pemilu,"['putus', 'triger', 'ledak', 'milu']",-6,negative
ILUSTRATOR HANDAL,@Ilustrator23,2024-04-02T17:24:21.000Z,"Sejauh ini ... A1 Seluruh hakim MK sudah memahami titik permasalahan pemilu 2024, persyaratan putusan Antara lain bukti yg cukup dan keterangan Saksi dan ahli,  dan Alhamdulillah sudah lebih dari cukup, Karena praktek nya sangat keterlaluan sekali ",32.0,35.0,sejauh a seluruh hakim mk memahami titik permasalahan pemilu persyaratan putusan antara bukti keterangan saksi ahli alhamdulillah karena praktek nya keterlaluan,"['a', 'hakim', 'mk', 'paham', 'titik', 'masalah', 'milu', 'syarat', 'putus', 'bukti', 'terang', 'saksi', 'ahli', 'alhamdulillah', 'praktek', 'nya']",-7,negative
dedi tri prakoso,@renaisans__,2024-04-02T17:24:05.000Z,btw habis pemilu banyak orang orang penting dateng ke indo yaaa hehe,,,ngomong-ngomong habis pemilu dateng indo yaaa he,"['ngomong-ngomong', 'habis', 'milu', 'dateng', 'indo', 'yaaa', 'he']",-1,negative
sukardiyahya162@gmail.com,sukardiyahya162@gmail.com,2024-04-02T17:20:44.000Z,"Ente bilang pemilu paling kacau karena jagoan ente sbg partai pemenang pemilu kalah paling memalukan !

16% suara itu tidak sebanding dgn kesombongan dan anggaran kampanye yg nominalnya sampai 506 Milyar.

Fakta itu yg membuat kalian jadi kacau hati & kacau otak karena prustasi !",,,ente bilang pemilu paling kacau jagoan ente sbg partai pemenang pemilu kalah paling memalukan suara tidak sebanding kesombongan anggaran kampanye nominalnya milyar fakta membuat kacau hati kacau otak prustasi,"['ente', 'bilang', 'milu', 'kacau', 'jago', 'ente', 'sbg', 'partai', 'menang', 'milu', 'kalah', 'malu', 'suara', 'banding', 'sombong', 'anggar', 'kampanye', 'nominal', 'milyar', 'fakta', 'kacau', 'hati', 'kacau', 'otak', 'prustasi']",-3,negative
Didiek Murdock,@DidiekMurdock,2024-04-02T17:20:38.000Z,"::
KPU sport jantung menghadapi pakar IT.

#GantungMatiKetuaKPU
#GantungMatiKetuaKPU 

Lawan segala bentuk kecurangan soal pemilu.
Ini kesempatan terakhir kita merebut kembali Indonesia dari jajahan oligarki dan pengkhianat bangsa.
Atau kita akan disengsarakan selamanya
••
Tampilkan lebih banyak",35.0,48.0,kpu sport jantung pakar it lawan bentuk kecurangan pemilu ini kesempatan merebut indonesia jajahan oligarki pengkhianat bangsa atau disengsarakan tampilkan,"['kpu', 'sport', 'jantung', 'pakar', 'it', 'lawan', 'bentuk', 'curang', 'milu', 'sempat', 'rebut', 'indonesia', 'jajah', 'oligarki', 'khianat', 'bangsa', 'sengsara', 'tampil']",-23,negative
roichan akbar,@ichanbakar,2024-04-02T17:12:18.000Z,"Ketua KPU tidur, Ketua Bawaslu tidur. Pantes pemilu kita begini.  Bukan cuma tercela, ini udh menghina pengadilan (contempt of court). ",,3.0,ketua kpu tidur ketua bawaslu tidur pantes pemilu bukan tercela menghina pengadilan contempt of court,"['ketua', 'kpu', 'tidur', 'ketua', 'bawaslu', 'tidur', 'pantes', 'milu', 'cela', 'hina', 'adil', 'contempt', 'of', 'court']",-10,negative
sya.,@syaranza_,2024-04-02T17:12:05.000Z,Masyarakat terpecah perhatiannya di antara korupsi timah dan sidang sengketa pemilu di MK,,,masyarakat terpecah perhatiannya korupsi timah sidang sengketa pemilu mk,"['masyarakat', 'pecah', 'perhati', 'korupsi', 'timah', 'sidang', 'sengketa', 'milu', 'mk']",-6,negative
Lauren Douglas,@LaurenD64482325,2024-04-02T17:11:37.000Z,"RAKYAT INDONESIA MENDUKUNG HASIL
PUTUSAN KPU TERKAIT HASIL PEMILU 2024
Hanya Orang-Orang Yang Sakit Hati Menolak Hasil Pilpres 2024",,,rakyat indonesia mendukung hasil putusan kpu terkait hasil pemilu hanya orangorang yang sakit hati menolak hasil pilpres,"['rakyat', 'indonesia', 'dukung', 'hasil', 'putus', 'kpu', 'kait', 'hasil', 'milu', 'orangorang', 'sakit', 'hati', 'tolak', 'hasil', 'pilpres']",3,positive
Lauren Douglas,@LaurenD64482325,2024-04-02T17:10:59.000Z,"REMAONG KUTAI BERJAYA AJAK MASYARAKAT TERIMA HASIL PEMILU 
Remaong Kutai Berjaya (RKB) ajak masyarakat mendukung dan menerima hasil Pemilu 2024 yang telah ditetapkan oleh KPU serta ingatkan untuk tak terprovokasi dengan isu negatif yang dapat memecah belah NKRI",,,remaong kutai berjaya ajak masyarakat terima hasil pemilu remaong kutai berjaya rkb ajak masyarakat mendukung menerima hasil pemilu ditetapkan kpu ingatkan tidak terprovokasi isu negatif memecah belah nkri,"['remaong', 'kuta', 'jaya', 'ajak', 'masyarakat', 'terima', 'hasil', 'milu', 'remaong', 'kuta', 'jaya', 'rkb', 'ajak', 'masyarakat', 'dukung', 'terima', 'hasil', 'milu', 'tetap', 'kpu', 'ingat', 'provokasi', 'isu', 'negatif', 'pecah', 'belah', 'nkri']",21,positive
Aurora,@Auroraawan19,2024-04-02T17:10:54.000Z,Mahasiswa mengapresiasi kelancaran pelaksanaan pemilu 2024.,,,mahasiswa mengapresiasi kelancaran pelaksanaan pemilu,"['mahasiswa', 'apresiasi', 'lancar', 'laksana', 'milu']",2,positive
sam ³³ #V3RSTAPPEN,@maxversatan,2024-04-02T17:03:31.000Z,"mungkin dia tertidur dengan sebongkah duit yg diterima oleh pihak 02 abis ngebantuin mereka buat ngecurangi + manipulasi hasil pemilu buat agenda oligarchy goverment n political dynastic takes yg mereka bikin sejak melanggar konstitusi sbelum pemilu, what an embarassment shame!",,,mungkin tertidur sebongkah duit diterima habis ngebantuin ngecurangi manipulasi hasil pemilu agenda oligarchy goverment political dynastic takes bikin melanggar konstitusi sbelum pemilu what an embarassment shame,"['tidur', 'bong', 'duit', 'terima', 'habis', 'ngebantuin', 'ngecurangi', 'manipulasi', 'hasil', 'milu', 'agenda', 'oligarchy', 'goverment', 'political', 'dynastic', 'takes', 'bikin', 'langgar', 'konstitusi', 'sbelum', 'milu', 'what', 'an', 'embarassment', 'shame']",5,positive
Chandra,@chandratitius,2024-04-02T16:57:51.000Z,"Kapolri 
@DivHumas_Polri
 melarang Kapolda memberi kesaksian tentang kecurangan pemilu di sidang MK 
@officialMKRI
 ,

Eh, tau-tau Kapolrinya yg bakal dipanggil MK.
Kapok.. ",,,kapolri melarang kapolda kesaksian kecurangan pemilu sidang mk eh tautau kapolrinya dipanggil mk kapok,"['kapolri', 'larang', 'kapolda', 'saksi', 'curang', 'milu', 'sidang', 'mk', 'eh', 'tautau', 'kapolrinya', 'panggil', 'mk', 'kapok']",-13,negative
Tutur Politik,@politiknurani,2024-04-02T16:57:34.000Z,TSM Dalam Pemilu Pilpres dan Hubungannya dengan Sengketa Pemilu,,,tsm dalam pemilu pilpres hubungannya sengketa pemilu,"['tsm', 'milu', 'pilpres', 'hubung', 'sengketa', 'milu']",-2,negative
